Rk,Country,State,# of Pros,# Active,# of HOF,G,TDs,Most Touchdowns,TDs,Most Games Played,Games,Most Touchdowns-additional,Most Games Played-additional
102,USA,Puerto Rico,2,0,0,126,0,,,Ken Amato,125,AmatKe20,
103,USA,VT,10,0,0,444,16,Jim Laird,13,Steve Wisniewski,206,LairJi20,WisnSt00
104,Angola,,1,0,0,24,0,,,Christo Bilukidi,24,BiluCh00,
105,Argentina,,3,0,0,201,0,,,Martin Gramatica,109,gramamar01,
106,Armenia,,1,0,0,48,0,,,Mike Gulian,48,GuliMi20,
107,Barbados,,5,0,0,306,8,Robert Bailey,3,Robert Bailey,146,BailRo20,BailRo20
108,Bermuda,,3,0,0,98,20,Ron Davenport,17,Ron Davenport,67,DaveRo00,DaveRo00
109,Bolivia,,1,0,0,4,0,,,Wilson Alvarez,4,alvarwil01,
110,Bulgaria,,1,0,0,21,0,,,Boni Petcoff,21,PetcBo20,
111,Burma,,1,0,0,10,2,Don Thompson,2,Don Thompson,10,ThomDo22,ThomDo22
112,Canada,New Brunswick,1,0,0,4,0,,,Bill Howell,4,HoweBi20,
113,Canada,Newfoundland and Labrador,1,0,0,21,3,Ted Williams,3,Ted Williams,21,WillTe20,WillTe20
114,Canada,Nova Scotia,3,0,0,262,0,,,Eddie Murray,250,murraedd01,
115,Canada,Saskatchewan,12,0,1,568,37,Rueben Mayes,23,Jon Ryan,191,MayeRu00,RyanJo21
116,Chile,,1,0,0,11,0,,,Sammis Reyes,11,ReyeSa00,
117,Colombia,,2,0,0,167,0,,,Fuad Reveiz,147,reveifua01,
118,Croatia,,2,0,0,34,0,,,George Perpich,27,PerpGe20,
119,Cuba,,4,0,0,287,4,Lou Molinet,1,Luis Sharpe,189,MoliLo20,SharLu00
120,Cyprus,,1,0,0,177,0,,,Garo Yepremian,177,yepregar01,
121,Czech Republic,,5,0,0,128,1,Bullets Walson,1,Will Svitek,79,WalsBu20,SvitWi20
122,DR Congo,,6,0,0,115,17,Tim Biakabutuka,17,Tim Biakabutuka,50,BiakTi00,BiakTi00
123,El Salvador,,1,0,0,55,0,,,Jose Cortez,55,cortejos01,
